[1364338800] LOG ROTATION: DAILY
[1364338800] LOG VERSION: 2.0
[1364338800] CURRENT HOST STATE: adela.printers.sofia.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 47.88 ms
[1364338800] CURRENT HOST STATE: advps-test.apps.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: anabel.printers.sofia.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 43.25 ms
[1364338800] CURRENT HOST STATE: angelina.printers.mucontrol.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 9.79 ms
[1364338800] CURRENT HOST STATE: annabelle.printers.tess.elex.be;DOWN;HARD;1;PING CRITICAL - Packet loss = 100%
[1364338800] CURRENT HOST STATE: ape-test.erfurt.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: apps-test.sofia.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: apt-test-squeeze.colo.elex.be;DOWN;HARD;1;Server down!
[1364338800] CURRENT HOST STATE: aptmaster-test.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: arwen.printers.erfurt.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 42.61 ms
[1364338800] CURRENT HOST STATE: ascp-app-test.apps.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: ascp-db-test.apps.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: ategen-test.erfurt.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: atlan.erfurt.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: autobuild-test.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: azhira.printers.erfurt.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 38.61 ms
[1364338800] CURRENT HOST STATE: bach-test.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: bamboo-xpeqt-test.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: batch-test.tess.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: batch.kiev.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: beast-test.admin.elex.be;DOWN;HARD;1;Server down!
[1364338800] CURRENT HOST STATE: beatrice.printers.bevaix.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.34 ms
[1364338800] CURRENT HOST STATE: belayn.printers.erfurt.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 47.56 ms
[1364338800] CURRENT HOST STATE: belina-test.sofia.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: betsy.printers.genk.elex.be;DOWN;HARD;1;CRITICAL - Time to live exceeded (10.32.96.8)
[1364338800] CURRENT HOST STATE: betty.printers.erfurt.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 34.27 ms
[1364338800] CURRENT HOST STATE: bifur-test.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: bipmelei-test.apps.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: blade1mm1.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: blade1mm1.erfurt.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: blade1mm1.sofia.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: blade2mm1.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: borneo-test.kuching.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: britney-test.colo.elex.be;DOWN;HARD;1;Server down!
[1364338800] CURRENT HOST STATE: bumblebee-test.erfurt.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: cad1050.printers.tess.elex.be;DOWN;HARD;1;PING CRITICAL - Packet loss = 100%
[1364338800] CURRENT HOST STATE: cassius.sensors.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 9.32 ms
[1364338800] CURRENT HOST STATE: cfengine-test.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: christina-test.colo.elex.be;DOWN;HARD;1;Server down!
[1364338800] CURRENT HOST STATE: christina.printers.tess.elex.be;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 12.24 ms
[1364338800] CURRENT HOST STATE: chubra.printers.sofia.elex.be;DOWN;HARD;1;PING CRITICAL - Packet loss = 100%
[1364338800] CURRENT HOST STATE: cmdb-test.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: coldfusion-test.colo.elex.be;UP;HARD;1;Server alive
[1364338800] CURRENT HOST STATE: confluence-xpeqt-test.colo.elex.be;UP;HARD;1;Server alive
